sku,nombre,categoria,marca,proveedor,ml,precio_classic,precio_elite,pvp_mercado,costo_unit,exclusiva,precio_observado,unidades_90d,stock_u
KY-0001,Whisky Chivas Regal 12 años,Whisky,Chivas Regal,Pernod Ricard,1000,184800.0,155600.0,195400.0,139280.0,False,True,136,108
KY-0002,Whisky Chivas Regal Extra,Whisky,Chivas Regal,Pernod Ricard,1000,210600.0,177300.0,224800.0,167930.0,False,True,81,63
KY-0003,Whisky The Glenlivet Founders Reserve,Whisky,The Glenlivet,Pernod Ricard,700,166100.0,139800.0,169100.0,124900.0,False,True,2739,1441
KY-0004,Whisky The Glenlivet 12 años,Whisky,The Glenlivet,Pernod Ricard,700,195800.0,177300.0,197000.0,152370.0,False,True,196,85
KY-0005,Whisky Buchanan's Deluxe 12 años + 200 ml,Whisky,Buchanan's,Diageo,950,165000.0,158100.0,174300.0,136860.0,False,True,87,67
KY-0006,Whisky Jack Daniel's Old No. 7,Whisky,Jack Daniel's,Otros importadores,1000,183300.0,173100.0,189000.0,136850.0,False,True,225,136
KY-0007,Whisky Jack Daniel's Old No. 7 200 ml,Whisky,Jack Daniel's,Otros importadores,200,39900.0,37300.0,41100.0,30280.0,False,True,112,69
KY-0008,Whisky Old Parr 12 años,Whisky,Old Parr,Diageo,500,110200.0,104400.0,119700.0,88090.0,False,True,412,296
KY-0009,Whisky Glenfiddich 12 años 50 ml,Whisky,Glenfiddich,Otros importadores,50,26000.0,25200.0,27400.0,19230.0,False,True,305,250
KY-0010,Ginebra Beefeater London Dry,Ginebra,Beefeater,Pernod Ricard,700,140600.0,118400.0,143300.0,100160.0,False,True,122,77
KY-0011,Ron Defensor 12 años,Ron,Defensor,Distribución KYVA,700,265900.0,247300.0,283800.0,173600.0,True,True,440,332
KY-0012,Ron Medellín Dorado 750 ml,Ron,Ron Medellín,Otros importadores,750,49200.0,48400.0,53500.0,37990.0,False,True,61,50
KY-0013,Ron Medellín Dorado 375 ml,Ron,Ron Medellín,Otros importadores,375,27000.0,26500.0,29200.0,20860.0,False,True,94,58
KY-0014,Aguardiente Antioqueño Real 375 ml,Aguardiente,Antioqueño,Otros importadores,375,24500.0,24500.0,24900.0,19750.0,False,True,64,42
KY-0015,Aguardiente Mil Demonios 700 ml,Aguardiente,Mil Demonios,Distribución KYVA,700,111000.0,99300.0,116100.0,76540.0,True,True,73,1200
KY-0016,Aguardiente Mil Demonios 375 ml,Aguardiente,Mil Demonios,Distribución KYVA,375,59700.0,53400.0,61200.0,35730.0,True,True,798,0
KY-0017,Cerveza Club Colombia x6,Cerveza,Club Colombia,Bavaria,1980,23400.0,20600.0,23600.0,16680.0,False,True,375,265
KY-0018,Cerveza Stella Artois lata x6,Cerveza,Stella Artois,Bavaria,1614,25000.0,23900.0,25600.0,18180.0,False,True,388,254
KY-0019,"Cerveza Heineken 0,0 x6",Cerveza,Heineken,Otros importadores,1500,23200.0,21500.0,24800.0,17970.0,False,True,1483,620
KY-0020,Red Bull Sin Azúcar x4,Mixers y aguas,Red Bull,Otros importadores,1000,36200.0,32700.0,39100.0,22860.0,False,True,268,185
KY-0021,Agua Hatsu con gas x6,Mixers y aguas,Hatsu,Otros importadores,1800,18000.0,16200.0,18200.0,10830.0,False,True,628,394
KY-0022,Agua Hatsu sin gas x6,Mixers y aguas,Hatsu,Otros importadores,3000,23600.0,21300.0,23900.0,15020.0,False,True,212,132
KY-0023,Whisky Glenfiddich 15 años,Whisky,Glenfiddich,Otros importadores,700,260700.0,248400.0,277700.0,196710.0,False,False,15,8
KY-0024,Whisky Monkey Shoulder,Whisky,Monkey Shoulder,Otros importadores,700,175100.0,156100.0,187800.0,135900.0,False,False,11,7
KY-0025,Whisky Buchanan's Two Souls,Whisky,Buchanan's,Diageo,700,249400.0,208200.0,269700.0,191010.0,False,False,0,16
KY-0026,Whisky The Glenlivet Caribbean Reserve,Whisky,The Glenlivet,Pernod Ricard,700,148900.0,137600.0,150400.0,112910.0,False,False,3,2
KY-0027,Whisky Johnnie Walker 18 años,Whisky,Johnnie Walker,Diageo,700,488900.0,455200.0,500900.0,400480.0,False,False,15,11
KY-0028,Whisky Johnnie Walker Red Label,Whisky,Johnnie Walker,Diageo,700,86800.0,76100.0,92800.0,66660.0,False,False,0,13
KY-0029,Whisky Buchanan's Master,Whisky,Buchanan's,Diageo,700,216200.0,189400.0,230100.0,169870.0,False,False,18,12
KY-0030,Whisky Dewar's 15 años,Whisky,Dewar's,Bacardí,700,274300.0,265400.0,289100.0,219810.0,False,False,93,73
