cotizacion_id,empresa,sector,tipo,fecha_cotizacion,fecha_entrega,valor_cotizado,unidades,estado,motivo_perdida,probabilidad,ingreso_neto,costo_mercancia,empaque_personalizado,dias_pago
Q-00001,Empresa C-0085,Educación,Cata privada,2021-12-21,2022-01-03,12574000.0,83,Ganada,,,11975000.0,9159000.0,452000.0,30
Q-00002,Empresa C-0003,Automotriz,Regalos de fin de año,2021-12-24,2022-01-10,4180000.0,27,Perdida,Cobertura fuera de Bogotá,,0.0,0.0,0.0,60
Q-00003,Empresa C-0007,Automotriz,Obsequios a clientes,2022-01-04,2022-01-22,705000.0,5,Ganada,,,671000.0,497000.0,25000.0,45
Q-00004,Empresa C-0153,Energía y minería,Cata privada,2022-01-05,2022-02-03,16921000.0,120,Perdida,Cobertura fuera de Bogotá,,0.0,0.0,0.0,45
Q-00005,Empresa C-0016,Financiero,Regalos de fin de año,2022-01-08,2022-02-04,7217000.0,35,Perdida,Sin respuesta del cliente,,0.0,0.0,0.0,90
Q-00006,Empresa C-0009,Inmobiliario y construcción,Evento corporativo,2022-01-11,2022-02-14,2668000.0,19,Ganada,,,2541000.0,1930000.0,68000.0,30
Q-00007,Empresa C-0620,Consumo masivo,Regalos de fin de año,2022-01-15,2022-02-03,2078000.0,16,Ganada,,,1979000.0,1489000.0,70000.0,30
Q-00008,Empresa C-0001,Tecnología,Regalos de fin de año,2022-01-15,2022-02-11,2606000.0,16,Ganada,,,2482000.0,1948000.0,88000.0,45
Q-00009,Empresa C-0084,Automotriz,Regalos de fin de año,2022-01-22,2022-02-06,22672000.0,143,Perdida,Sin respuesta del cliente,,0.0,0.0,0.0,45
Q-00010,Empresa C-0004,Financiero,Boda o celebración privada,2022-01-22,2022-03-01,7620000.0,59,Ganada,,,7257000.0,5531000.0,303000.0,45
Q-00011,Empresa C-0093,Energía y minería,Regalos de fin de año,2022-01-25,2022-02-16,1357000.0,7,Perdida,Cobertura fuera de Bogotá,,0.0,0.0,0.0,30
Q-00012,Empresa C-0477,Automotriz,Obsequios a clientes,2022-01-28,2022-02-20,1912000.0,9,Perdida,Sin respuesta del cliente,,0.0,0.0,0.0,45
Q-00013,Empresa C-0096,Energía y minería,Regalos de fin de año,2022-01-30,2022-03-13,1079000.0,7,Perdida,Precio,,0.0,0.0,0.0,45
