mes,cuenta_id,marca,unidades,ingreso_neto,costo_mercancia
2024-07,D-001,Ron Defensor,20,2991900.0,2101500.0
2024-07,D-002,Ron Defensor,11,1645500.0,1155800.0
2024-08,D-001,Ron Defensor,59,8866400.0,6227600.0
2024-09,D-001,Ron Defensor,40,6038500.0,4241300.0
2024-09,D-003,Ron Defensor,38,5736600.0,4029300.0
2024-10,D-001,Ron Defensor,19,2880900.0,2023500.0
2024-10,D-004,Ron Defensor,20,3032600.0,2130000.0
2024-10,D-005,Ron Defensor,6,909800.0,639000.0
2024-11,D-001,Ron Defensor,26,3960300.0,2781600.0
2024-11,D-004,Ron Defensor,23,3503300.0,2460700.0
2024-12,D-001,Ron Defensor,27,4130800.0,2901400.0
2024-12,D-003,Ron Defensor,59,9026500.0,6340000.0
2024-12,D-004,Ron Defensor,16,2447900.0,1719300.0
2024-12,D-007,Ron Defensor,18,2753800.0,1934200.0
2024-12,D-009,Ron Defensor,37,5660700.0,3975900.0
2025-01,D-001,Ron Defensor,36,5532800.0,3886100.0
2025-01,D-007,Ron Defensor,4,614800.0,431800.0
2025-01,D-008,Ron Defensor,7,1075800.0,755600.0
2025-01,D-009,Ron Defensor,21,3227400.0,2266900.0
2025-01,D-010,Ron Defensor,22,3381100.0,2374800.0
2025-01,D-012,Ron Defensor,8,1229500.0,863600.0
2025-02,D-001,Ron Defensor,22,3396500.0,2385700.0
2025-02,D-002,Ron Defensor,5,771900.0,542200.0
2025-02,D-004,Ron Defensor,20,3087800.0,2168800.0
2025-02,D-007,Ron Defensor,7,1080700.0,759100.0
2025-02,D-008,Ron Defensor,9,1389500.0,976000.0
2025-02,D-009,Ron Defensor,18,2779000.0,1951900.0
2025-02,D-010,Ron Defensor,9,1389500.0,976000.0
2025-02,D-011,Ron Defensor,5,771900.0,542200.0
2025-02,D-012,Ron Defensor,5,771900.0,542200.0
2025-02,D-013,Ron Defensor,42,6484300.0,4554500.0
2025-02,D-016,Ron Defensor,6,926300.0,650600.0
2025-03,D-001,Ron Defensor,26,4030600.0,2831000.0
2025-03,D-003,Ron Defensor,25,3875600.0,2722100.0
2025-03,D-004,Ron Defensor,44,6821100.0,4791000.0
2025-03,D-007,Ron Defensor,6,930100.0,653300.0
2025-03,D-009,Ron Defensor,30,4650700.0,3266600.0
2025-03,D-012,Ron Defensor,14,2170300.0,1524400.0
2025-03,D-013,Ron Defensor,17,2635400.0,1851100.0
2025-03,D-014,Ron Defensor,14,2170300.0,1524400.0
2025-03,D-016,Ron Defensor,4,620100.0,435500.0
2025-03,D-018,Ron Defensor,11,1705300.0,1197700.0
2025-03,D-001,Marcel Thorel,36,3189100.0,2292100.0
