mes,ingreso_store,ingreso_lounge,ingreso_corporativo,ingreso_distribucion,ingresos,costo_mercancia,margen_bruto,logistica,pasarela_y_empaque,mercadeo,personas,nomina,arriendo_y_bodega,tecnologia,otros_gastos,ebitda,depreciacion,utilidad_operacional,inventario,cartera,proveedores,capital_trabajo,caja,deuda
2023-01,0.0,92133000.0,9023000.0,0.0,101156000.0,79579000.0,21578000.0,5026000.0,4620000.0,6519000.0,6,15600000.0,3287000.0,1644000.0,3149000.0,-18267000.0,0.0,-18267000.0,158666000.0,8662000.0,185110000.0,-17782000.0,139918000.0,214648000.0
2023-02,0.0,93133000.0,11729000.0,0.0,104862000.0,82598000.0,22265000.0,4980000.0,4696000.0,6497000.0,6,15600000.0,3302000.0,1651000.0,3190000.0,-17652000.0,0.0,-17652000.0,147069000.0,11260000.0,171580000.0,-13252000.0,114194000.0,214648000.0
2023-03,0.0,108346000.0,14916000.0,0.0,123262000.0,97405000.0,25857000.0,5724000.0,5647000.0,6746000.0,6,15600000.0,3316000.0,1658000.0,3396000.0,-16229000.0,0.0,-16229000.0,103832000.0,14319000.0,121138000.0,-2986000.0,84158000.0,214648000.0
2023-04,0.0,107771000.0,15815000.0,0.0,123586000.0,97921000.0,25664000.0,5734000.0,5635000.0,7295000.0,6,15600000.0,3331000.0,1665000.0,3399000.0,-16996000.0,0.0,-16996000.0,111169000.0,15182000.0,129698000.0,-3346000.0,63980000.0,214648000.0
2023-05,0.0,99720000.0,21817000.0,0.0,121537000.0,96231000.0,25306000.0,5556000.0,5486000.0,7304000.0,6,15600000.0,3346000.0,1673000.0,3377000.0,-17035000.0,0.0,-17035000.0,116623000.0,20944000.0,136060000.0,1507000.0,60000000.0,236098000.0
2023-06,0.0,154896000.0,32867000.0,0.0,187763000.0,149469000.0,38294000.0,7822000.0,8131000.0,8179000.0,6,15600000.0,3361000.0,1680000.0,4117000.0,-10597000.0,0.0,-10597000.0,137449000.0,31552000.0,160357000.0,8644000.0,60000000.0,257728000.0
2023-07,0.0,108651000.0,15782000.0,0.0,124433000.0,98228000.0,26205000.0,5859000.0,5530000.0,7832000.0,6,15600000.0,3376000.0,1688000.0,3409000.0,-17089000.0,0.0,-17089000.0,137571000.0,15151000.0,160500000.0,-7778000.0,60000000.0,262647000.0
2023-08,0.0,115700000.0,41346000.0,0.0,157046000.0,122713000.0,34333000.0,6478000.0,6986000.0,8544000.0,6,15600000.0,3391000.0,1695000.0,3774000.0,-12136000.0,0.0,-12136000.0,148164000.0,39692000.0,172858000.0,14998000.0,60000000.0,301893000.0
2023-09,0.0,173023000.0,30940000.0,0.0,203963000.0,160659000.0,43304000.0,9229000.0,9191000.0,8900000.0,6,15600000.0,3406000.0,1703000.0,4299000.0,-9024000.0,0.0,-9024000.0,152640000.0,29702000.0,178080000.0,4262000.0,60000000.0,305162000.0
2023-10,21895000.0,123726000.0,22881000.0,0.0,168502000.0,132274000.0,36228000.0,7663000.0,7512000.0,10366000.0,7,18200000.0,3421000.0,1711000.0,3902000.0,-16547000.0,0.0,-16547000.0,240151000.0,21966000.0,193968000.0,68149000.0,60000000.0,390631000.0
