mes,trimestre,marca,exclusiva,unidades,bonificadas,cuota_mes,costo_unit,compra,costo_bonificacion
2024-09,2024-T3,Mil Demonios,True,310,9,400,46076.666666666664,14283767,414690
2024-09,2024-T3,Ron Defensor,True,267,14,267,95000.0,25365000,1330000
2024-09,2024-T3,Marcel Thorel,True,115,5,150,95000.0,10925000,475000
2024-09,2024-T3,Pernod Ricard,False,946,17,867,95000.0,89870000,1615000
2024-09,2024-T3,Diageo,False,665,33,733,95000.0,63175000,3135000
2024-09,2024-T3,Bacardí,False,546,22,500,42800.0,23368800,941600
2024-10,2024-T4,Mil Demonios,True,454,19,400,46076.666666666664,20918807,875457
2024-10,2024-T4,Ron Defensor,True,303,8,267,95000.0,28785000,760000
2024-10,2024-T4,Marcel Thorel,True,198,13,150,95000.0,18810000,1235000
2024-10,2024-T4,Pernod Ricard,False,1134,61,867,95000.0,107730000,5795000
2024-10,2024-T4,Diageo,False,713,23,733,95000.0,67735000,2185000
2024-10,2024-T4,Bacardí,False,447,9,500,42800.0,19131600,385200
2024-11,2024-T4,Mil Demonios,True,630,29,400,46076.666666666664,29028300,1336223
2024-11,2024-T4,Ron Defensor,True,430,28,267,95000.0,40850000,2660000
2024-11,2024-T4,Marcel Thorel,True,262,16,150,95000.0,24890000,1520000
2024-11,2024-T4,Pernod Ricard,False,1557,29,867,95000.0,147915000,2755000
2024-11,2024-T4,Diageo,False,1124,60,733,95000.0,106780000,5700000
2024-11,2024-T4,Bacardí,False,695,29,500,42800.0,29746000,1241200
2024-12,2024-T4,Mil Demonios,True,1172,74,400,46076.666666666664,54001853,3409673
2024-12,2024-T4,Ron Defensor,True,580,9,267,95000.0,55100000,855000
2024-12,2024-T4,Marcel Thorel,True,325,15,150,95000.0,30875000,1425000
2024-12,2024-T4,Pernod Ricard,False,1766,72,867,95000.0,167770000,6840000
2024-12,2024-T4,Diageo,False,1350,71,733,95000.0,128250000,6745000
2024-12,2024-T4,Bacardí,False,961,64,500,42800.0,41130800,2739200
2025-01,2025-T1,Mil Demonios,True,223,8,400,46076.666666666664,10275097,368613
2025-01,2025-T1,Ron Defensor,True,213,10,267,95000.0,20235000,950000
2025-01,2025-T1,Marcel Thorel,True,85,5,150,95000.0,8075000,475000
2025-01,2025-T1,Pernod Ricard,False,654,12,867,95000.0,62130000,1140000
2025-01,2025-T1,Diageo,False,432,6,733,95000.0,41040000,570000
2025-01,2025-T1,Bacardí,False,397,24,500,42800.0,16991600,1027200
2025-02,2025-T1,Mil Demonios,True,261,16,400,46076.666666666664,12026010,737227
2025-02,2025-T1,Ron Defensor,True,199,13,267,95000.0,18905000,1235000
2025-02,2025-T1,Marcel Thorel,True,116,3,150,95000.0,11020000,285000
2025-02,2025-T1,Pernod Ricard,False,737,28,867,95000.0,70015000,2660000
2025-02,2025-T1,Diageo,False,428,12,733,95000.0,40660000,1140000
2025-02,2025-T1,Bacardí,False,413,27,500,42800.0,17676400,1155600
2025-03,2025-T1,Mil Demonios,True,377,13,400,46076.666666666664,17370903,598997
