mes,canal,inversion
2023-01,Google y SEO,508000.0
2023-01,Instagram y Meta,1034000.0
2023-01,Eventos y experiencias,3949000.0
2023-01,Contenido e influenciadores,1028000.0
2023-01,Beneficios de Mi Círculo,0.0
2023-02,Google y SEO,590000.0
2023-02,Instagram y Meta,1246000.0
2023-02,Eventos y experiencias,3657000.0
2023-02,Contenido e influenciadores,1004000.0
2023-02,Beneficios de Mi Círculo,0.0
2023-03,Google y SEO,751000.0
2023-03,Instagram y Meta,1350000.0
2023-03,Eventos y experiencias,3491000.0
2023-03,Contenido e influenciadores,1154000.0
2023-03,Beneficios de Mi Círculo,0.0
2023-04,Google y SEO,925000.0
2023-04,Instagram y Meta,1296000.0
2023-04,Eventos y experiencias,3899000.0
2023-04,Contenido e influenciadores,1175000.0
2023-04,Beneficios de Mi Círculo,0.0
2023-05,Google y SEO,871000.0
2023-05,Instagram y Meta,1514000.0
2023-05,Eventos y experiencias,3697000.0
2023-05,Contenido e influenciadores,1222000.0
2023-05,Beneficios de Mi Círculo,0.0
2023-06,Google y SEO,1083000.0
2023-06,Instagram y Meta,1843000.0
2023-06,Eventos y experiencias,4020000.0
2023-06,Contenido e influenciadores,1233000.0
2023-06,Beneficios de Mi Círculo,0.0
2023-07,Google y SEO,1100000.0
2023-07,Instagram y Meta,1586000.0
2023-07,Eventos y experiencias,3816000.0
2023-07,Contenido e influenciadores,1330000.0
2023-07,Beneficios de Mi Círculo,0.0
2023-08,Google y SEO,1157000.0
2023-08,Instagram y Meta,1547000.0
2023-08,Eventos y experiencias,4438000.0
2023-08,Contenido e influenciadores,1402000.0
2023-08,Beneficios de Mi Círculo,0.0
2023-09,Google y SEO,1385000.0
2023-09,Instagram y Meta,1777000.0
2023-09,Eventos y experiencias,4403000.0
2023-09,Contenido e influenciadores,1335000.0
2023-09,Beneficios de Mi Círculo,0.0
2023-10,Google y SEO,2548000.0
2023-10,Instagram y Meta,1984000.0
2023-10,Eventos y experiencias,4472000.0
2023-10,Contenido e influenciadores,1362000.0
2023-10,Beneficios de Mi Círculo,0.0
2023-11,Google y SEO,2737000.0
2023-11,Instagram y Meta,2719000.0
2023-11,Eventos y experiencias,4172000.0
2023-11,Contenido e influenciadores,1419000.0
2023-11,Beneficios de Mi Círculo,0.0
2023-12,Google y SEO,3902000.0
2023-12,Instagram y Meta,3236000.0
2023-12,Eventos y experiencias,8107000.0
2023-12,Contenido e influenciadores,1510000.0
2023-12,Beneficios de Mi Círculo,0.0
2024-01,Google y SEO,2343000.0
2024-01,Instagram y Meta,1776000.0
2024-01,Eventos y experiencias,4724000.0
2024-01,Contenido e influenciadores,1638000.0
2024-01,Beneficios de Mi Círculo,0.0
2024-02,Google y SEO,2831000.0
2024-02,Instagram y Meta,2007000.0
2024-02,Eventos y experiencias,4173000.0
2024-02,Contenido e influenciadores,1452000.0
2024-02,Beneficios de Mi Círculo,0.0
2024-03,Google y SEO,3124000.0
2024-03,Instagram y Meta,2559000.0
2024-03,Eventos y experiencias,4831000.0
2024-03,Contenido e influenciadores,1760000.0
2024-03,Beneficios de Mi Círculo,0.0
2024-04,Google y SEO,2979000.0
2024-04,Instagram y Meta,2488000.0
2024-04,Eventos y experiencias,4705000.0
2024-04,Contenido e influenciadores,1498000.0
2024-04,Beneficios de Mi Círculo,0.0
2024-05,Google y SEO,3828000.0
2024-05,Instagram y Meta,2564000.0
2024-05,Eventos y experiencias,4670000.0
2024-05,Contenido e influenciadores,1665000.0
2024-05,Beneficios de Mi Círculo,0.0
2024-06,Google y SEO,3959000.0
2024-06,Instagram y Meta,3144000.0
2024-06,Eventos y experiencias,4680000.0
2024-06,Contenido e influenciadores,1741000.0
2024-06,Beneficios de Mi Círculo,0.0
2024-07,Google y SEO,3659000.0
2024-07,Instagram y Meta,2847000.0
2024-07,Eventos y experiencias,4434000.0
2024-07,Contenido e influenciadores,1694000.0
2024-07,Beneficios de Mi Círculo,0.0
2024-08,Google y SEO,4122000.0
2024-08,Instagram y Meta,2972000.0
2024-08,Eventos y experiencias,4520000.0
2024-08,Contenido e influenciadores,1857000.0
2024-08,Beneficios de Mi Círculo,0.0
2024-09,Google y SEO,4734000.0
2024-09,Instagram y Meta,3327000.0
2024-09,Eventos y experiencias,4955000.0
2024-09,Contenido e influenciadores,2010000.0
2024-09,Beneficios de Mi Círculo,0.0
2024-10,Google y SEO,3918000.0
2024-10,Instagram y Meta,2984000.0
2024-10,Eventos y experiencias,4693000.0
2024-10,Contenido e influenciadores,2097000.0
2024-10,Beneficios de Mi Círculo,0.0
2024-11,Google y SEO,4441000.0
2024-11,Instagram y Meta,3511000.0
2024-11,Eventos y experiencias,4950000.0
