mes,invitaciones,registrados,primera_compra,cupones_emitidos,cupones_usados,costo_cupones
2023-01,264,53,30,60,47,1175000
2023-02,308,70,36,72,57,1425000
2023-03,272,56,31,62,49,1225000
2023-04,299,63,36,72,60,1500000
2023-05,251,60,34,68,56,1400000
2023-06,312,71,40,80,65,1625000
2023-07,359,80,46,92,75,1875000
2023-08,319,77,42,84,66,1650000
2023-09,464,107,56,112,89,2225000
2023-10,371,89,51,102,86,2150000
2023-11,774,164,84,168,131,3275000
2023-12,877,184,102,204,167,4175000
2024-01,511,122,66,132,104,2600000
2024-02,695,160,86,172,142,3550000
2024-03,749,180,95,190,156,3900000
2024-04,870,183,95,190,148,3700000
2024-05,863,185,99,198,159,3975000
2024-06,962,233,128,256,206,5150000
2024-07,1015,206,118,236,191,4775000
2024-08,978,236,125,250,200,5000000
2024-09,1416,293,149,298,240,6000000
2024-10,1224,293,155,310,260,6500000
2024-11,1517,377,201,402,322,8050000
2024-12,1927,405,212,424,339,8475000
2025-01,1266,276,156,312,251,6275000
2025-02,1454,312,173,346,284,7100000
2025-03,1380,314,181,362,283,7075000
2025-04,1555,363,203,406,336,8400000
2025-05,1820,383,219,438,364,9100000
2025-06,2334,509,281,562,462,11550000
2025-07,2000,420,241,482,390,9750000
2025-08,2009,467,263,526,430,10750000
2025-09,2880,676,339,678,548,13700000
2025-10,2169,493,271,542,444,11100000
2025-11,2381,575,294,588,489,12225000
2025-12,4127,848,463,926,734,18350000
2026-01,1390,339,177,354,275,6875000
2026-02,2442,525,280,560,465,11625000
2026-03,2091,505,282,564,455,11375000
2026-04,1921,447,240,480,398,9950000
2026-05,2045,504,270,540,452,11300000
2026-06,2347,568,315,630,495,12375000
2026-07,2098,498,269,538,437,10925000
2026-08,2457,557,282,564,453,11325000
