mes,canal,ciudad,presupuesto,real,cumplimiento,brecha
2024-09,Restaurantes,Bogotá,6742116,0.0,0.0,-6742116.0
2024-10,Restaurantes,Bogotá,1605952,1298987.0,80.9,-306965.0
2024-11,Restaurantes,Bogotá,2081115,2261529.0,108.7,180414.0
2024-12,Restaurantes,Bogotá,3197497,10458182.0,327.1,7260685.0
2025-01,Restaurantes,Bogotá,3393150,5700241.0,168.0,2307091.0
2025-02,Restaurantes,Bogotá,3066539,4873518.0,158.9,1806979.0
2025-03,Restaurantes,Bogotá,2619591,7227094.0,275.9,4607503.0
2025-04,Restaurantes,Bogotá,2671007,10519412.0,393.8,7848405.0
2025-05,Restaurantes,Bogotá,2913853,4772613.0,163.8,1858760.0
2025-06,Restaurantes,Bogotá,2702688,12151155.0,449.6,9448467.0
2025-07,Restaurantes,Bogotá,2688944,10591515.0,393.9,7902571.0
2025-08,Restaurantes,Bogotá,2512245,11250514.0,447.8,8738269.0
2025-09,Restaurantes,Bogotá,3288592,14404475.0,438.0,11115883.0
2025-10,Restaurantes,Bogotá,1674978,12187712.0,727.6,10512734.0
2025-11,Restaurantes,Bogotá,2840217,27810576.0,979.2,24970359.0
2025-12,Restaurantes,Bogotá,12043626,36003503.0,298.9,23959877.0
2026-01,Restaurantes,Bogotá,6408566,14385332.0,224.5,7976766.0
2026-02,Restaurantes,Bogotá,5846335,27845765.0,476.3,21999430.0
2026-03,Restaurantes,Bogotá,9096994,55192295.0,606.7,46095301.0
2026-04,Restaurantes,Bogotá,12327446,40291620.0,326.8,27964174.0
2026-05,Restaurantes,Bogotá,5808952,74137040.0,1276.3,68328088.0
2026-06,Restaurantes,Bogotá,14359055,65681515.0,457.4,51322460.0
2026-07,Restaurantes,Bogotá,13031667,83485781.0,640.6,70454114.0
2026-08,Restaurantes,Bogotá,13396769,85060816.0,634.9,71664047.0
2024-09,Restaurantes,Medellín,6407024,0.0,0.0,-6407024.0
2024-10,Restaurantes,Medellín,5977107,0.0,0.0,-5977107.0
2024-11,Restaurantes,Medellín,6444974,0.0,0.0,-6444974.0
2024-12,Restaurantes,Medellín,6405290,0.0,0.0,-6405290.0
2025-01,Restaurantes,Medellín,7099197,0.0,0.0,-7099197.0
2025-02,Restaurantes,Medellín,6402654,0.0,0.0,-6402654.0
2025-03,Restaurantes,Medellín,6144241,0.0,0.0,-6144241.0
2025-04,Restaurantes,Medellín,6705350,0.0,0.0,-6705350.0
2025-05,Restaurantes,Medellín,6153365,0.0,0.0,-6153365.0
2025-06,Restaurantes,Medellín,6467159,0.0,0.0,-6467159.0
2025-07,Restaurantes,Medellín,6040953,0.0,0.0,-6040953.0
2025-08,Restaurantes,Medellín,7131951,0.0,0.0,-7131951.0
2025-09,Restaurantes,Medellín,6864012,0.0,0.0,-6864012.0
2025-10,Restaurantes,Medellín,7077073,0.0,0.0,-7077073.0
2025-11,Restaurantes,Medellín,6203502,0.0,0.0,-6203502.0
2025-12,Restaurantes,Medellín,6320910,0.0,0.0,-6320910.0
2026-01,Restaurantes,Medellín,6442496,0.0,0.0,-6442496.0
2026-02,Restaurantes,Medellín,6073978,0.0,0.0,-6073978.0
2026-03,Restaurantes,Medellín,2734872,2072922.0,75.8,-661950.0
2026-04,Restaurantes,Medellín,4998148,15183164.0,303.8,10185016.0
2026-05,Restaurantes,Medellín,7867901,15985482.0,203.2,8117581.0
2026-06,Restaurantes,Medellín,10941159,29541910.0,270.0,18600751.0
2026-07,Restaurantes,Medellín,13308744,39378036.0,295.9,26069292.0
2026-08,Restaurantes,Medellín,17856242,41657812.0,233.3,23801570.0
2024-09,Bares,Bogotá,8040852,0.0,0.0,-8040852.0
2024-10,Bares,Bogotá,8260125,0.0,0.0,-8260125.0
2024-11,Bares,Bogotá,4298090,3333077.0,77.5,-965013.0
2024-12,Bares,Bogotá,5313094,9096292.0,171.2,3783198.0
2025-01,Bares,Bogotá,6094188,8302064.0,136.2,2207876.0
2025-02,Bares,Bogotá,3714366,15980416.0,430.2,12266050.0
2025-03,Bares,Bogotá,4077477,28096229.0,689.1,24018752.0
2025-04,Bares,Bogotá,5532010,25310487.0,457.5,19778477.0
2025-05,Bares,Bogotá,5001537,31985802.0,639.5,26984265.0
2025-06,Bares,Bogotá,5478080,47464884.0,866.5,41986804.0
2025-07,Bares,Bogotá,4439775,39774029.0,895.9,35334254.0
2025-08,Bares,Bogotá,5147792,47377763.0,920.4,42229971.0
2025-09,Bares,Bogotá,4755874,49502292.0,1040.9,44746418.0
2025-10,Bares,Bogotá,5524515,64251110.0,1163.0,58726595.0
2025-11,Bares,Bogotá,4179565,116341424.0,2783.6,112161859.0
2025-12,Bares,Bogotá,10639458,140436096.0,1320.0,129796638.0
2026-01,Bares,Bogotá,11027454,31899678.0,289.3,20872224.0
2026-02,Bares,Bogotá,20287767,46468912.0,229.0,26181145.0
2026-03,Bares,Bogotá,36418745,44663148.0,122.6,8244403.0
2026-04,Bares,Bogotá,33103167,49754187.0,150.3,16651020.0
2026-05,Bares,Bogotá,36167045,64529798.0,178.4,28362753.0
2026-06,Bares,Bogotá,61399169,65065893.0,106.0,3666724.0
2026-07,Bares,Bogotá,48359487,68750110.0,142.2,20390623.0
2026-08,Bares,Bogotá,57222168,66900749.0,116.9,9678581.0
2024-09,Bares,Medellín,2299147,0.0,0.0,-2299147.0
2024-10,Bares,Medellín,2508173,0.0,0.0,-2508173.0
2024-11,Bares,Medellín,2550578,0.0,0.0,-2550578.0
2024-12,Bares,Medellín,2722213,0.0,0.0,-2722213.0
2025-01,Bares,Medellín,2678932,0.0,0.0,-2678932.0
2025-02,Bares,Medellín,2638602,0.0,0.0,-2638602.0
2025-03,Bares,Medellín,2354425,0.0,0.0,-2354425.0
2025-04,Bares,Medellín,2450339,0.0,0.0,-2450339.0
2025-05,Bares,Medellín,2517293,0.0,0.0,-2517293.0
2025-06,Bares,Medellín,2534611,0.0,0.0,-2534611.0
2025-07,Bares,Medellín,2341288,0.0,0.0,-2341288.0
2025-08,Bares,Medellín,2575187,0.0,0.0,-2575187.0
2025-09,Bares,Medellín,2367734,0.0,0.0,-2367734.0
2025-10,Bares,Medellín,2657502,0.0,0.0,-2657502.0
2025-11,Bares,Medellín,2353902,0.0,0.0,-2353902.0
2025-12,Bares,Medellín,2459058,0.0,0.0,-2459058.0
2026-01,Bares,Medellín,2668506,0.0,0.0,-2668506.0
2026-02,Bares,Medellín,2670129,0.0,0.0,-2670129.0
2026-03,Bares,Medellín,586444,467894.0,79.8,-118550.0
2026-04,Bares,Medellín,1023705,2263067.0,221.1,1239362.0
2026-05,Bares,Medellín,1316270,4401002.0,334.4,3084732.0
2026-06,Bares,Medellín,1604864,5943939.0,370.4,4339075.0
2026-07,Bares,Medellín,2346509,6644493.0,283.2,4297984.0
2026-08,Bares,Medellín,2820296,9012079.0,319.5,6191783.0
2024-09,Discotecas,Bogotá,596274,528392.0,88.6,-67882.0
2024-10,Discotecas,Bogotá,901457,1002145.0,111.2,100688.0
2024-11,Discotecas,Bogotá,1346765,1657042.0,123.0,310277.0
2024-12,Discotecas,Bogotá,2337976,2962052.0,126.7,624076.0
2025-01,Discotecas,Bogotá,2391350,0.0,0.0,-2391350.0
2025-02,Discotecas,Bogotá,2639100,1336592.0,50.6,-1302508.0
2025-03,Discotecas,Bogotá,2269095,1007025.0,44.4,-1262070.0
2025-04,Discotecas,Bogotá,1387049,1055015.0,76.1,-332034.0
2025-05,Discotecas,Bogotá,1447699,1225057.0,84.6,-222642.0
2025-06,Discotecas,Bogotá,1578079,1880664.0,119.2,302585.0
2025-07,Discotecas,Bogotá,1759946,1420451.0,80.7,-339495.0
2025-08,Discotecas,Bogotá,1873054,1006881.0,53.8,-866173.0
2025-09,Discotecas,Bogotá,690282,3897307.0,564.6,3207025.0
2025-10,Discotecas,Bogotá,1175345,7128680.0,606.5,5953335.0
2025-11,Discotecas,Bogotá,1961589,13723758.0,699.6,11762169.0
2025-12,Discotecas,Bogotá,3847812,21990465.0,571.5,18142653.0
2026-01,Discotecas,Bogotá,2017441,4982551.0,247.0,2965110.0
2026-02,Discotecas,Bogotá,1687644,7179947.0,425.4,5492303.0
2026-03,Discotecas,Bogotá,1345302,5819980.0,432.6,4474678.0
2026-04,Discotecas,Bogotá,1329402,10954913.0,824.0,9625511.0
2026-05,Discotecas,Bogotá,1546961,13323241.0,861.3,11776280.0
2026-06,Discotecas,Bogotá,2468725,14166578.0,573.8,11697853.0
2026-07,Discotecas,Bogotá,1653259,15421767.0,932.8,13768508.0
2026-08,Discotecas,Bogotá,1153319,21878553.0,1897.0,20725234.0
2024-09,Discotecas,Medellín,6430883,0.0,0.0,-6430883.0
2024-10,Discotecas,Medellín,6630596,0.0,0.0,-6630596.0
