trimestre,marca,exclusiva,cuota,unidades,cumplimiento,tasa_rebate,compra,rebate,faltan_para_siguiente,siguiente_tramo,bonificadas,costo_bonificacion
2024-T3,Bacardí,False,1500,546,36.4,0.0,23368800.0,0,834,0.012,22,941600.0
2024-T3,Diageo,False,2200,665,30.2,0.0,63175000.0,0,1315,0.015,33,3135000.0
2024-T3,Marcel Thorel,True,450,115,25.6,0.0,10925000.0,0,290,0.03,5,475000.0
2024-T3,Mil Demonios,True,1200,310,25.8,0.0,14283767.0,0,710,0.02,9,414690.0
2024-T3,Pernod Ricard,False,2600,946,36.4,0.0,89870000.0,0,1394,0.015,17,1615000.0
2024-T3,Ron Defensor,True,800,267,33.4,0.0,25365000.0,0,413,0.02,14,1330000.0
2024-T4,Bacardí,False,1500,2103,140.2,0.05,90008400.0,4500420,0,,102,4365600.0
2024-T4,Diageo,False,2200,3187,144.9,0.06,302765000.0,18165900,0,,154,14630000.0
2024-T4,Marcel Thorel,True,450,785,174.4,0.095,74575000.0,7084625,0,,44,4180000.0
2024-T4,Mil Demonios,True,1200,2256,188.0,0.085,103948960.0,8835662,0,,122,5621353.0
2024-T4,Pernod Ricard,False,2600,4457,171.4,0.055,423415000.0,23287825,0,,162,15390000.0
2024-T4,Ron Defensor,True,800,1313,164.1,0.08,124735000.0,9978800,0,,45,4275000.0
2025-T1,Bacardí,False,1500,1216,81.1,0.0,52044800.0,0,164,0.012,73,3124400.0
2025-T1,Diageo,False,2200,1515,68.9,0.0,143925000.0,0,465,0.015,36,3420000.0
2025-T1,Marcel Thorel,True,450,304,67.6,0.0,28880000.0,0,101,0.03,10,950000.0
2025-T1,Mil Demonios,True,1200,861,71.8,0.0,39672010.0,0,159,0.02,37,1704837.0
2025-T1,Pernod Ricard,False,2600,2022,77.8,0.0,192090000.0,0,318,0.015,54,5130000.0
2025-T1,Ron Defensor,True,800,696,87.0,0.02,66120000.0,1322400,104,0.05,30,2850000.0
2025-T2,Bacardí,False,1500,1413,94.2,0.012,60476400.0,725717,87,0.03,64,2739200.0
2025-T2,Diageo,False,2200,1920,87.3,0.0,182400000.0,0,60,0.015,124,11780000.0
2025-T2,Marcel Thorel,True,450,467,103.8,0.06,44365000.0,2661900,95,0.095,30,2850000.0
2025-T2,Mil Demonios,True,1200,994,82.8,0.0,45800206.0,0,26,0.02,45,2073450.0
2025-T2,Pernod Ricard,False,2600,2728,104.9,0.035,259160000.0,9070600,132,0.055,119,11305000.0
2025-T2,Ron Defensor,True,800,873,109.1,0.05,82935000.0,4146750,87,0.08,45,4275000.0
2025-T3,Bacardí,False,1500,1699,113.3,0.05,72717200.0,3635860,0,,86,3680800.0
2025-T3,Diageo,False,2200,1981,90.0,0.015,188195000.0,2822925,219,0.04,97,9215000.0
2025-T3,Marcel Thorel,True,450,445,98.9,0.03,42275000.0,1268250,5,0.06,22,2090000.0
2025-T3,Mil Demonios,True,1200,1210,100.8,0.055,55752767.0,3066402,170,0.085,40,1843067.0
2025-T3,Pernod Ricard,False,2600,2424,93.2,0.015,230280000.0,3454200,176,0.035,136,12920000.0
2025-T3,Ron Defensor,True,800,705,88.1,0.02,66975000.0,1339500,95,0.05,28,2660000.0
2025-T4,Bacardí,False,1500,2689,179.3,0.05,115089200.0,5754460,0,,153,6548400.0
2025-T4,Diageo,False,2200,3649,165.9,0.06,346655000.0,20799300,0,,196,18620000.0
2025-T4,Marcel Thorel,True,450,756,168.0,0.095,71820000.0,6822900,0,,37,3515000.0
2025-T4,Mil Demonios,True,1200,1894,157.8,0.085,87269207.0,7417883,0,,95,4377284.0
